"wsj_0161.tml_3",said,"REPORTING","PAST","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"_","_","hadson","corp.","said","it","expects","CT+"
"wsj_0161.tml_3",expects,"I_STATE","PRESENT","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"hadson","corp.","said","it","expects","to","report","Uu"
"wsj_0161.tml_3",report,"REPORTING","INFINITIVE","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"said","it","expects","to","report","a","third-quarter","Uu"
"wsj_0161.tml_3",loss,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"report","a","third-quarter","net","loss","of","dollar17","Uu"
"wsj_0161.tml_4",reimbursed,"OCCURRENCE","FUTURE","NONE","VERB","NEG","AUTHOR",RELSOURCELEVEL1,"that","wo","not","be","reimbursed.","_","_","Uu"
"wsj_0161.tml_4",reserve,"STATE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"record","a","dollar7.5","million","reserve","for","its","Uu"
"wsj_0161.tml_4",charge,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"including","a","dollar4.7","million","charge","related","to","Uu"
"wsj_0161.tml_4",costs,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"dollar2.8","million","in","overhead","costs","that","wo","Uu"
"wsj_0161.tml_4",said,"REPORTING","PAST","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"energy","and","defense","concern","said","it","will","CT+"
"wsj_0161.tml_4",record,"OCCURRENCE","FUTURE","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"concern","said","it","will","record","a","dollar7.5","Uu"
"wsj_0161.tml_5",said,"REPORTING","PAST","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"_","in","additioncomma","hadson","said","it","will","CT+"
"wsj_0161.tml_5",write,"OCCURRENCE","FUTURE","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"hadson","said","it","will","write","off","about","Uu"
"wsj_0161.tml_5",unsuccessful,"STATE","PRESENT","PERFECTIVE","ADJECTIVE","POS","AUTHOR",RELSOURCELEVEL1,"exploration","efforts","have","been","unsuccessful.","_","_","Uu"
"wsj_0161.tml_5",exploration,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"international","exploration","leases","where","exploration","efforts","have","Uu"
"wsj_0161.tml_6",cited,"REPORTING","PAST","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"_","the","company","also","cited","interest","costs","CT+"
"wsj_0161.tml_6",amortization,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"cited","interest","costs","and","amortization","of","goodwill","Uu"
"wsj_0161.tml_6",loss,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"as","factors","in","the","loss.","_","_","CT+"
"wsj_0161.tml_6",costs,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"company","also","cited","interest","costs","and","amortization","Uu"
"wsj_0161.tml_7",income,"STATE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"a","year","earliercomma","net","income","was","dollar2.1","CT+"
"CNN19980126.1600.1104.tml_1",cuts,"OCCURRENCE","NONE","NONE","NOUN","POS","AUTHOR",RELSOURCELEVEL1,"_","_","major","job","cuts","at","at","CT+"
"CNN19980126.1600.1104.tml_2",slashing,"OCCURRENCE","PRESPART","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"the","long","distance","giant","slashing","up","to","CT+"
"CNN19980126.1600.1104.tml_2",freezing,"OCCURRENCE","PRESENT","NONE","VERB","POS","AUTHOR",RELSOURCELEVEL1,"to","eighteen","thousand","jobscomma","freezing","executive","salaries","CT+"
